"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2020,"Louisiana","Unclassified",184,36,1227879,654,34029
2020,"Maine","Natural resources and mining",1581,7787,322563894,797,41422
2020,"Maine","Construction",5732,30344,1687316733,1069,55607
2020,"Maine","Manufacturing",1863,50166,3094337750,1186,61682
2020,"Maine","Trade, transportation, and utilities",10546,111483,4803197210,829,43084
2020,"Maine","Information",916,6415,412238883,1236,64265
2020,"Maine","Financial activities",3926,30107,2284196719,1459,75870
2020,"Maine","Professional and business services",11267,68952,4563133142,1273,66178
2020,"Maine","Education and health services",5591,115511,6207379971,1033,53739
2020,"Maine","Leisure and hospitality",5172,51781,1300348249,483,25112
2020,"Maine","Other services",3830,16120,636691055,760,39497
2020,"Maine","Unclassified",820,707,46067059,1253,65166
2020,"Maryland","Natural resources and mining",720,7112,333462019,902,46887
2020,"Maryland","Construction",16346,160039,11305443891,1358,70642
2020,"Maryland","Manufacturing",4168,108500,9268718047,1643,85426
2020,"Maryland","Trade, transportation, and utilities",31685,441680,22437378191,977,50800
2020,"Maryland","Information",2855,33029,3651995194,2126,110569
2020,"Maryland","Financial activities",15692,129771,14295499484,2118,110159
2020,"Maryland","Professional and business services",44172,441860,39056677490,1700,88391
2020,"Maryland","Education and health services",21505,420463,25166239126,1151,59854
2020,"Maryland","Leisure and hospitality",14823,210848,5562840707,507,26383
2020,"Maryland","Other services",19028,78236,3773940217,928,48238
2020,"Maryland","Unclassified",271,149,14397820,1854,96414
2020,"Massachusetts","Natural resources and mining",999,11134,719538737,1243,64628
2020,"Massachusetts","Construction",21102,152366,12944737735,1634,84958
2020,"Massachusetts","Manufacturing",6616,229741,22098781254,1850,96190
2020,"Massachusetts","Trade, transportation, and utilities",40751,526726,32173431623,1175,61082
2020,"Massachusetts","Information",6073,89231,13094339299,2822,146746
2020,"Massachusetts","Financial activities",18137,212062,33743434561,3060,159120
2020,"Massachusetts","Professional and business services",48428,583792,72763009657,2397,124638
2020,"Massachusetts","Education and health services",71270,742606,47939878874,1241,64556
2020,"Massachusetts","Leisure and hospitality",20158,262049,7981318160,586,30457
2020,"Massachusetts","Other services",21927,98276,4554604440,891,46345
2020,"Michigan","Natural resources and mining",3574,34897,1511371814,833,43309
2020,"Michigan","Construction",21646,164028,11093324891,1301,67631
2020,"Michigan","Manufacturing",17437,554767,39260289841,1361,70769
2020,"Michigan","Trade, transportation, and utilities",55149,745824,38685112470,997,51869
2020,"Michigan","Information",7671,50511,4482583940,1707,88745
2020,"Michigan","Financial activities",20626,207448,16952531574,1572,81720
2020,"Michigan","Professional and business services",46269,599657,45832963628,1470,76432
2020,"Michigan","Education and health services",32965,622119,33695612269,1042,54163
2020,"Michigan","Leisure and hospitality",23032,323435,7197852507,428,22254
2020,"Michigan","Other services",25486,114074,4523024661,762,39650
2020,"Michigan","Unclassified",5617,10121,536863491,1020,53042
2020,"Minnesota","Natural resources and mining",3175,28204,1446153118,986,51276
2020,"Minnesota","Construction",16952,123866,9035027321,1403,72942
2020,"Minnesota","Manufacturing",8284,309006,21899122916,1363,70870
2020,"Minnesota","Trade, transportation, and utilities",37255,499190,26877929476,1035,53843
2020,"Minnesota","Information",4304,43145,3981896173,1775,92292
2020,"Minnesota","Financial activities",16134,179728,18869396197,2019,104989
2020,"Minnesota","Professional and business services",33603,361183,32879448643,1751,91033
2020,"Minnesota","Education and health services",22985,513228,28292475713,1060,55127
2020,"Minnesota","Leisure and hospitality",15355,204519,4942688039,465,24167
2020,"Minnesota","Other services",17118,77083,3043676715,759,39485
2020,"Mississippi","Natural resources and mining",2070,14561,735677271,972,50525
2020,"Mississippi","Construction",5839,43888,2360265584,1034,53779
2020,"Mississippi","Manufacturing",2375,139480,7241510014,998,51918
2020,"Mississippi","Trade, transportation, and utilities",19589,226629,9104924956,773,40176
2020,"Mississippi","Information",964,9629,522868914,1044,54301
2020,"Mississippi","Financial activities",7984,41912,2483837446,1140,59263
2020,"Mississippi","Professional and business services",12692,107758,4910882689,876,45573
2020,"Mississippi","Education and health services",7693,138876,6342437240,878,45670
2020,"Mississippi","Leisure and hospitality",6644,118107,2170794619,353,18380
2020,"Mississippi","Other services",4625,19993,770143541,741,38520
2020,"Missouri","Natural resources and mining",2123,16963,791781383,898,46677
2020,"Missouri","Construction",15735,126375,8171938995,1244,64664
2020,"Missouri","Manufacturing",6859,266452,16476288752,1189,61836
2020,"Missouri","Trade, transportation, and utilities",39646,519916,24186725353,895,46520
2020,"Missouri","Information",3562,43675,3901387106,1718,89327
2020,"Missouri","Financial activities",18815,165564,13686118105,1590,82664
2020,"Missouri","Professional and business services",36089,365657,26571003202,1397,72666
2020,"Missouri","Education and health services",56134,448355,22624093844,970,50460
2020,"Missouri","Leisure and hospitality",15398,253244,5610435067,426,22154
2020,"Missouri","Other services",13399,68557,2639139383,740,38496
2020,"Montana","Natural resources and mining",1847,12449,820912549,1268,65945
2020,"Montana","Construction",6813,30793,1721209627,1075,55897
2020,"Montana","Manufacturing",1672,20421,1106385781,1042,54178
2020,"Montana","Trade, transportation, and utilities",9323,89315,3929512958,846,43996
2020,"Montana","Information",856,5797,380678645,1263,65673
2020,"Montana","Financial activities",4557,21986,1480335327,1295,67330
2020,"Montana","Professional and business services",10331,43549,2603570265,1150,59785
